"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","028_A3","033B","033E-replaced","033_A1","042B","042E","042_A1","054_V2","055_V1","067_A5","115_A2","161_A2","408_A1","442B","442E","442_A3","445_A2","447_A2","447_A3","489_A1","530B","530E","530_A2","552_A1","606_A3"
"mtgA","","monofunctional biosynthetic peptidoglycan transglycosylase","25","25","1","1","3344","","","","L_01319___25665","L_01162___61871","L_01154___69365","L_01148___17713","L_01225___80919","L_01157___76889","L_00152___27242","L_01169","L_00280___31343","L_01232___37496","L_01155___41738","L_01191___45573","L_00255___8079","L_01138___73124","L_01132___65615","L_01135___2339","L_01291___49605","L_00443___91152","L_01147___58036","L_01168___6141","L_01214___84857","L_01238___88807","L_01186___21558","L_00083___11491","L_01766___54975"
"group_1896	group_1895","","solanesyl diphosphate synthase	solanesyl diphosphate synthase","4	25","4	25","1	1","1	1","3346	3347","318","1","","L_01321___25669","L_01164___61875","L_01156___69369","L_01150___17717","L_01227___80923","L_01159___76893","L_00149___27236	L_00150___27238","L_01171","L_00278___31339","L_01235___37502	L_01234___37500","L_01157___41742","L_01193___45577","L_00257___8083","L_01140___73128","L_01134___65619","L_01137___2343","L_01294___49611	L_01293___49609","L_00445___91156","L_01150___58042	L_01149___58040","L_01170___6145","L_01216___84861","L_01240___88811","L_01188___21562","L_00085___11495","L_01764___54971"
"group_1897","","hypothetical protein","25","25","1","1","3366","","","Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits","L_01336___25700","L_01180___61908","L_01171___69400","L_01165___17748","L_01242___80954","L_01174___76924","L_00133___27203","L_01186","L_00263___31308","L_01250___37533","L_01172___41773","L_01208___45608","L_00272___8114","L_01155___73159","L_01149___65650","L_01152___2374","L_01312___49648","L_00460___91187","L_01165___58073","L_01185___6176","L_01231___84892","L_01255___88842","L_01203___21593","L_00100___11526","L_01747___54936"
"group_1898	group_1899","","short-chain dehydrogenase/reductase SDR	short-chain dehydrogenase/reductase SDR","25	1","25	1","1	1","1	1","3376	34","207","3","","L_01343___25714","L_01186___61920","L_01177___69412","L_01171___17760","L_01248___80966","L_01180___76936","L_00127___27191","L_01192","L_00257___31296","L_01259___37551","L_01178___41785","L_01214___45620","L_00278___8126","L_01161___73171","L_01155___65662","L_01158___2386","L_01320___49664	L_01321___49666","L_00466___91199","L_01171___58085","L_01191___6188","L_01237___84904","L_01261___88854","L_01209___21605","L_00106___11538","L_01740___54922"
"ccmI","","cytochrome c-type biogenesis protein CcmI","25","25","1","1","3426","","","","L_01388___25808","L_01230___62012","L_01222___69506","L_01215___17852","L_01295___81064","L_01227___77034","L_01007___29000","L_01236","L_00210___31197","L_01302___37641","L_01222___41877","L_01257___45710","L_00316___8206","L_01201___73255","L_01193___65742","L_01198___2470","L_01364___49756","L_00512___91295","L_01217___58181","L_01236___6282","L_01276___84987","L_01302___88941","L_01249___21690","L_00146___11622","L_01696___54829"
"group_1912","","cytochrome c biogenesis family protein","25","25","1","1","3427","","","","L_01389___25810","L_01231___62014","L_01223___69508","L_01216___17854","L_01296___81066","L_01228___77036","L_01006___28997","L_01237","L_00209___31194","L_01303___37643","L_01223___41879","L_01258___45712","L_00317___8208","L_01202___73257","L_01194___65744","L_01199___2472","L_01365___49758","L_00513___91297","L_01218___58183","L_01237___6284","L_01277___84989","L_01303___88943","L_01250___21692","L_00147___11624","L_01695___54826"
"group_1917	group_1916	group_1915","","sugar (and other) transporter family protein	sugar (and other) transporter family protein	sugar (and other) transporter family protein","1	1	25","1	1	25","1	1	1","1	1	1","14	13	3454","380	340","1	1","","L_01414___25862","L_01256___62066","L_01248___69560","L_01241___17906","L_01321___81118	L_01322___81120","L_01253___77088	L_01254___77090","L_00981___28946","L_01261","L_00185___31145","L_01331___37701","L_01247___41929","L_01283___45764","L_00342___8260","L_01225___73305","L_01217___65792","L_01222___2520","L_01392___49814","L_00538___91349","L_01243___58235","L_01262___6336","L_01302___85041","L_01328___88995","L_01275___21744","L_00172___11676","L_01667___54769"
"uvrD","","ATP-dependent DNA helicase Rep","25","25","1","1","3455","","","","L_01415___25864","L_01257___62068","L_01249___69562","L_01242___17908","L_01323___81122","L_01255___77092","L_00980___28944","L_01262","L_00184___31143","L_01332___37703","L_01248___41931","L_01284___45766","L_00343___8262","L_01226___73307","L_01218___65794","L_01223___2522","L_01393___49816","L_00539___91351","L_01244___58237","L_01263___6338","L_01303___85043","L_01329___88997","L_01276___21746","L_00173___11678","L_01666___54767"
"argB","","putative N-acetyl-L-glutamate 5-phosphotransferase","25","25","1","1","3461","","","","L_01421___25876","L_01263___62080","L_01255___69574","L_01248___17920","L_01329___81134","L_01261___77104","L_00974___28932","L_01268","L_00178___31131","L_01338___37715","L_01254___41943","L_01290___45778","L_00349___8274","L_01232___73319","L_01224___65806","L_01229___2534","L_01399___49828","L_00545___91363","L_01250___58249","L_01269___6350","L_01309___85055","L_01335___89009","L_01282___21758","L_00179___11690","L_01660___54755"
"group_1920	group_1921","","MlotiK1 channel	MlotiK1 channel","25	1","25	1","1	1","1	1","3463	3464","301","1","","L_01423___25880","L_01265___62084","L_01257___69578","L_01250___17924","L_01331___81138","L_01263___77108","L_00972___28928","L_01270","L_00176___31127","L_01340___37719","L_01256___41947","L_01292___45782","L_00351___8278","L_01234___73323","L_01226___65810	L_01227___65812","L_01231___2538","L_01401___49832","L_00547___91367","L_01252___58253","L_01271___6354","L_01311___85059","L_01337___89013","L_01284___21762","L_00181___11694","L_01658___54751"
"group_1922	group_1923","","hypothetical protein	hypothetical protein","1	25","1	25","1	1","1	1","12	3472","168","1","","L_01430___25895","L_01272___62099","L_01264___69593","L_01257___17939","L_01338___81153","L_01270___77123","L_00964___28911	L_00965___28913","L_01277","L_00169___31112","L_01347___37734","L_01263___41962","L_01299___45797","L_00358___8293","L_01241___73338","L_01234___65827","L_01238___2553","L_01408___49847","L_00554___91382","L_01259___58268","L_01278___6369","L_01318___85074","L_01344___89028","L_01291___21777","L_00188___11709","L_01651___54736"
"oppC_1	oppC","","oligopeptide ABC transport system permease protein OppC	oligopeptide ABC transport system permease protein OppC","1	25","1	25","1	1","1	1","3504	3503","459","1","","L_01459___25957","L_01301___62161","L_01293___69655","L_01286___18001","L_01367___81215","L_01299___77185","L_01083___29160","L_01306","L_00142___31053","L_01378___37800","L_01293___42026","L_01326___45856","L_00388___8357","L_01269___73398","L_01262___65887","L_01267___2615","L_01442___49920","L_00582___91442","L_01289___58332","L_01306___6429","L_01345___85133","L_01372___89089","L_01319___21838","L_00217___11771","L_01616___54662	L_01617___54664"
"group_1930","","septum formation initiator family protein","25","25","1","1","3516","","","","L_01468___25976","L_01310___62180","L_01302___69674","L_01295___18020","L_01377___81236","L_01308___77204","L_01092___29179","L_01315","L_00133___31034","L_01392___37829","L_01302___42045","L_01335___45875","L_00397___8376","L_01279___73419","L_01271___65906","L_01277___2636","L_01453___49943","L_00591___91461","L_01300___58355","L_01316___6450","L_01356___85156","L_01383___89112","L_01328___21857","L_00228___11794","L_01606___54641"
"ccoO	ccoO_1","","cbb3-type cytochrome c oxidase subunit CcoO	cbb3-type cytochrome c oxidase subunit CcoO","25	1","25	1","1	1","1	1","3520	3521","344","1","","L_01474___25988","L_01316___62192","L_01308___69686","L_01301___18032","L_01383___81248","L_01314___77216","L_01098___29191","L_01321","L_00127___31022","L_01400___37845	L_01399___37843","L_01308___42057","L_01341___45887","L_00403___8388","L_01285___73431","L_01277___65918","L_01283___2648","L_01459___49955","L_00597___91473","L_01306___58367","L_01322___6462","L_01362___85168","L_01389___89124","L_01334___21869","L_00234___11806","L_01600___54629"
"group_1945","","RNA methyltransferase family protein","25","25","1","1","973","","","","L_01521___26086","L_01366___62296","L_01355___69784","L_01349___18132","L_01432___81350","L_01362___77316","L_00852___28682","L_01370","L_00079___30922","L_01458___37965","L_01356___42157","L_01388___45985","L_00451___8488","L_01334___73533","L_01325___66018","L_01331___2748","L_01513___50067","L_00645___91573","L_01353___58465","L_01372___6566","L_01410___85268","L_01439___89228","L_01382___21969","L_00283___11908","L_01540___54505"
"pal","","Peptidoglycan-associated lipoprotein precursor","25","25","1","1","977","","","","L_01524___26092","L_01369___62302","L_01358___69790","L_01352___18138","L_01435___81356","L_01365___77322","L_00849___28675","L_01373","L_00076___30916","L_01462___37973","L_01359___42163","L_01391___45991","L_00454___8494","L_01337___73539","L_01328___66024","L_01334___2754","L_01517___50075","L_00648___91579","L_01356___58471","L_01375___6572","L_01413___85274","L_01442___89234","L_01385___21975","L_00286___11914","L_01536___54496"
"group_1949","","4'-phosphopantetheinyl transferase superfamily protein","25","25","1","1","978","","","","L_01525___26095","L_01370___62305","L_01359___69793","L_01353___18141","L_01436___81359","L_01366___77325","L_00848___28673","L_01374","L_00075___30914","L_01463___37976","L_01360___42166","L_01392___45994","L_00455___8497","L_01338___73542","L_01329___66027","L_01335___2757","L_01518___50078","L_00649___91582","L_01357___58474","L_01376___6574","L_01414___85277","L_01443___89237","L_01386___21978","L_00287___11917","L_01535___54494"
"pilW	pilW_2","","type IV pilus assembly protein PilW	type IV pilus assembly protein PilW","25	1","25	1","1	1","1	1","982	900","307","1","","L_01528___26102","L_01373___62312","L_01362___69800","L_01356___18148","L_01439___81366","L_01369___77332","L_00845___28666","L_01377","L_00072___30907","L_01466___37983","L_01363___42173","L_01395___46001","L_00458___8504","L_01341___73549","L_01332___66034","L_01338___2764","L_01522___50087	L_01523___50089","L_00651___91587","L_01360___58481","L_01379___6581","L_01417___85284","L_01446___89244","L_01389___21985","L_00290___11924","L_01532___54487"
"coaBC","","phosphopantothenoylcysteine decarboxylase/phosphopantothenate-cysteine ligase","25","25","1","1","990","","","","L_01536___26119","L_01381___62329","L_01370___69817","L_01364___18165","L_01448___81385","L_01377___77349","L_00837___28649","L_01385","L_00064___30890","L_01474___38000","L_01371___42190","L_01403___46018","L_00467___8523","L_01349___73566","L_01340___66051","L_01346___2781","L_01532___50108","L_00659___91604","L_01368___58498","L_01387___6598","L_01425___85301","L_01455___89263","L_01397___22002","L_00298___11941","L_01523___54468"
"cysS_1	cysS","","cysteinyl-tRNA synthetase	cysteinyl-tRNA synthetase","1	25","1	25","1	1","1	1","997	1002","455","1","","L_01543___26136","L_01388___62346","L_01377___69834","L_01371___18182","L_01455___81402","L_01384___77366","L_00830___28632","L_01392","L_00057___30873","L_01484___38023","L_01378___42207","L_01410___46035","L_00474___8540","L_01356___73583","L_01347___66068","L_01353___2798","L_01540___50127	L_01541___50129","L_00667___91623","L_01375___58515","L_01395___6617","L_01432___85317","L_01462___89279","L_01404___22018","L_00305___11958","L_01515___54449"
"group_1955","","diacylglycerol O-acyltransferase","25","25","1","1","1004","","","","L_01545___26140","L_01390___62350","L_01379___69838","L_01373___18186","L_01457___81406","L_01386___77370","L_00828___28628","L_01394","L_00055___30869","L_01486___38027","L_01380___42211","L_01412___46039","L_00476___8544","L_01358___73587","L_01349___66072","L_01355___2802","L_01546___50139","L_00669___91627","L_01377___58519","L_01397___6621","L_01434___85321","L_01464___89283","L_01406___22022","L_00307___11962","L_01513___54445"
"hemF_2	hemF","","coproporphyrinogen 3 oxidase	coproporphyrinogen 3 oxidase","1	25","1	25","1	1","1	1","1015	2643","404","1","","L_01557___26164","L_01402___62374","L_01391___69862","L_01385___18210","L_01469___81430","L_01398___77394","L_00816___28604	L_00815___28602","L_01406","L_00043___30845","L_01634___38328","L_01392___42235","L_01424___46063","L_00488___8568","L_01370___73611","L_01361___66096","L_01367___2826","L_01616___50280","L_00681___91651","L_01389___58543","L_01409___6645","L_01446___85345","L_01476___89307","L_01418___22046","L_00393___12138","L_01501___54421"
"group_1958","","enoyl-CoA hydratase","25","25","1","1","2641","","","","L_01559___26169","L_01404___62379","L_01393___69867","L_01387___18215","L_01471___81435","L_01400___77399","L_00813___28597","L_01408","L_00041___30840","L_01636___38333","L_01394___42240","L_01426___46068","L_00490___8573","L_01372___73616","L_01363___66101","L_01369___2831","L_01618___50285","L_00683___91656","L_01391___58548","L_01411___6650","L_01448___85350","L_01478___89312","L_01420___22051","L_00395___12143","L_01499___54416"
"trpB	trpB_2","","tryptophan synthase beta subunit	tryptophan synthase beta subunit","25	3","25	3","1	1","1	1","2633	2631","283","1","","L_01567___26186","L_01412___62396","L_01401___69884","L_01395___18232","L_01479___81452","L_01408___77416","L_00805___28580","L_01416","L_00033___30823","L_01644___38350	L_01645___38352","L_01402___42257","L_01434___46085","L_00498___8590","L_01380___73633","L_01371___66118","L_01377___2848","L_01626___50302	L_01627___50304","L_00691___91673","L_01399___58565","L_01419___6667","L_01456___85367","L_01486___89329","L_01428___22068","L_00403___12160","L_01489___54395	L_01488___54393"
"afeD","","chelated iron ABC transporter permease protein AfeD","25","25","1","1","2407","","","","L_01612___26280","L_01812___63223","L_01805___70718","L_01791___19051","L_01887___82292","L_01804___78232","L_01837___30727","L_01799","L_01523___33904","L_02102___39290","L_01791___43060","L_01827___46897","L_00888___9395","L_01773___74445","L_01762___66926","L_01779___3678","L_02102___51277","L_01102___92519","L_01814___59419","L_01813___7479","L_01849___86178","L_01890___90161","L_01821___22879","L_00804___12986","L_01035___53463"
"rnpA_2	rnpA","","ribonuclease P protein component	ribonuclease P protein component","1	25","1	25","1	1","1	1","2364	2365","375","1","","L_01640___26336","L_01840___63279","L_01834___70776","L_01819___19107","L_01916___82350","L_01832___78288","L_00337___27621","L_01826","L_01485___33828","L_02134___39354","L_01818___43114","L_01855___46953","L_00916___9451","L_01802___74503","L_01791___66984","L_01807___3734","L_02134___51341	L_02133___51339","L_01131___92577","L_01841___59473","L_01852___7557","L_01887___86254","L_01931___90243","L_01858___22953","L_00833___13044","L_01004___53401"
"guaA_1	guaA","","GMP synthase	GMP synthase","1	25","1	25","1	1","1	1","2354	2353","220","1","","L_01646___26348","L_00005___59485","L_00005___66996","L_00005___15356","L_00049___78499","L_00005___74515","L_00344___27635","L_00005	L_00006","L_01479___33816","L_00005___34976","L_00005___39366","L_00005___43126","L_00923___9465","L_00005___70788","L_00005___63291","L_00005___9","L_00005___46965","L_01137___92589","L_00005___55683","L_00005___3746","L_00006___82364","L_00005___86266","L_00005___19119","L_00839___13056","L_00997___53387"
"group_1982","","endoribonuclease L-PSP family protein","25","25","1","1","2344","","","","L_01652___26362","L_00011___59499","L_00011___67010","L_00011___15370","L_00056___78515","L_00011___74529","L_00350___27649","L_00012","L_01472___33800","L_00012___34992","L_00011___39380","L_00011___43140","L_00929___9479","L_00013___70806","L_00013___63309","L_00013___27","L_00013___46983","L_01143___92603","L_00011___55697","L_00011___3760","L_00012___82378","L_00011___86280","L_00011___19133","L_00845___13070","L_00989___53369"
"dnaK	dnaK_2","","chaperone protein DnaK	chaperone protein DnaK","25	1","25	1","1	1","1	1","2330	1960","15","8","","L_01661___26380","L_00021___59519","L_00021___67030","L_00020___15388","L_00065___78533","L_00021___74549","L_00359___27667","L_00022","L_01463___33782","L_00025___35018","L_00020___39398","L_00020___43158","L_00938___9497","L_00022___70824","L_00022___63327","L_00022___45","L_00025___47007	L_00026___47009","L_01152___92621","L_00022___55719","L_00021___3780","L_00021___82396","L_00020___86298","L_00020___19151","L_00854___13088","L_00978___53347"
"group_1992	group_1991	group_1990","","CRISPR-associated family protein	CRISPR-associated family protein	CRISPR-associated family protein","2	1	25","2	1	25","1	1	1","1	1	1","1962	1965	2319","15	15","14	1","","L_01665___26389","L_00026___59530","L_00026___67041","L_00025___15399","L_00070___78544	L_00071___78546","L_00026___74560	L_00027___74562","L_01780___30608	L_01779___30606","L_00034","L_01457___33769","L_00030___35029","L_00024___39408","L_00024___43167","L_00943___9508","L_00033___70847","L_00033___63350","L_00033___68","L_00031___47020","L_01157___92632","L_00027___55730","L_00025___3789","L_00026___82407","L_00026___86311","L_00025___19162","L_00859___13099","L_00970___53330"
"sucA	sucA_1","","2-oxoglutarate dehydrogenase E1 component	2-oxoglutarate dehydrogenase E1 component","25	1","25	1","1	1","1	1","2271	2270","338","1","","L_01705___26471","L_00064___59608","L_00064___67119","L_00063___15477","L_00109___78624","L_00066___74642","L_01740___30526","L_00072","L_01417___33687","L_00076___35123","L_00062___39486","L_00062___43245","L_00981___9586","L_00071___70925","L_00071___63428","L_00071___146","L_00076___47112	L_00075___47110","L_01196___92712","L_00065___55808","L_00063___3867","L_00064___82485","L_00065___86391","L_00063___19240","L_00899___13181","L_00922___53232"
"group_2002	group_2003","","hypothetical protein	hypothetical protein","25	1","25	1","1	1","1	1","2262	1981","302","1","","L_01713___26489","L_00071___59624","L_00071___67135","L_00070___15493","L_00118___78644","L_00075___74662","L_01730___30503	L_01731___30505","L_00081","L_01410___33670","L_00084___35141","L_00071___39506","L_00069___43261","L_00988___9602","L_00078___70941","L_00078___63444","L_00078___162","L_00084___47131","L_01204___92730","L_00072___55824","L_00070___3883","L_00071___82501","L_00072___86407","L_00070___19256","L_00906___13197","L_00915___53215"
"dcp","","oligopeptidase A","25","25","1","1","2259","","","","L_01716___26496","L_00074___59631","L_00074___67142","L_00073___15500","L_00121___78651","L_00078___74669","L_01727___30497","L_00084","L_01407___33664","L_00087___35148","L_00074___39513","L_00072___43268","L_00991___9609","L_00081___70948","L_00081___63451","L_00081___169","L_00087___47138","L_01207___92737","L_00075___55831","L_00073___3890","L_00074___82508","L_00075___86414","L_00073___19263","L_00909___13204","L_00912___53209"
"group_2005","","RdgB/HAM1 family non-canonical purine NTP pyrophosphatase","25","25","1","1","2257","","","","L_01718___26500","L_00076___59635","L_00076___67146","L_00075___15504","L_00123___78655","L_00080___74673","L_01725___30493","L_00086","L_01405___33660","L_00089___35152","L_00076___39517","L_00074___43272","L_00993___9613","L_00083___70952","L_00083___63455","L_00083___173","L_00089___47142","L_01209___92741","L_00077___55835","L_00075___3894","L_00076___82512","L_00077___86418","L_00075___19267","L_00911___13208","L_00910___53205"
"fadA_1	fadA","","3-ketoacyl-CoA thiolase FadA	3-ketoacyl-CoA thiolase FadA","1	25","1	25","1	1","1	1","2249	2250","204","1","","L_01724___26512","L_00083___59649","L_00082___67158","L_00081___15516","L_00129___78667","L_00086___74685","L_01719___30481","L_00092","L_01398___33646","L_00096___35166	L_00097___35168","L_00082___39529","L_00080___43284","L_00999___9625","L_00089___70964","L_00089___63467","L_00089___185","L_00095___47154","L_01215___92753","L_00083___55847","L_00081___3906","L_00082___82524","L_00083___86430","L_00081___19279","L_00917___13220","L_00904___53193"
"group_2012","","hypothetical protein","25","25","1","1","2237","","","","L_01740___26545","L_00097___59677","L_00098___67190","L_00097___15548","L_00144___78698","L_00101___74716","L_01705___30452","L_00108","L_01380___33610","L_00115___35204","L_00099___39564","L_00098___43321","L_01014___9656","L_00107___71000","L_00107___63503","L_00107___221","L_00111___47187","L_01230___92784","L_00098___55878","L_00097___3938","L_00100___82561","L_00102___86469","L_00099___19316","L_00933___13253","L_00891___53167"
"group_2013","","GntR family transcriptional regulator","25","25","1","1","2215","","","","L_01755___26576","L_00111___59706","L_00112___67219","L_00111___15577","L_00160___78731","L_00117___74749","L_01689___30419","L_00123","L_01366___33581","L_00132___35239","L_00114___39595","L_00112___43350","L_01030___9689","L_00122___71031","L_00121___63532","L_00121___250","L_00129___47224","L_01246___92817","L_00115___55913","L_00112___3969","L_00114___82590","L_00116___86498","L_00113___19345","L_00951___13290","L_00871___53127"
"tatB","","twin-arginine translocation protein subunit TatB","25","25","1","1","2211","","","","L_01758___26582","L_00114___59712","L_00115___67225","L_00114___15583","L_00163___78737","L_00120___74755","L_00624___28207","L_00126","L_01363___33575","L_00136___35247","L_00117___39601","L_00115___43356","L_01033___9695","L_00125___71037","L_00124___63538","L_00124___256","L_00133___47232","L_01249___92823","L_00118___55919","L_00115___3975","L_00118___82598","L_00119___86504","L_00116___19351","L_00954___13296","L_00868___53121"
"uvrA	uvrA_2","","excinuclease ABC subunit A	excinuclease ABC subunit A","25	1","25	1","1	1","1	1","2160	2159","166","1","","L_01794___26655","L_00151___59787","L_00151___67298","L_00150___15656","L_00200___78812","L_00157___74830","L_00661___28282","L_00162","L_01327___33502","L_00179___35334","L_00155___39678","L_00151___43429","L_01070___9770","L_00161___71110","L_00160___63611","L_00160___329","L_00177___47321","L_01285___92896","L_00155___55994","L_00151___4048","L_00157___82677","L_00157___86581","L_00152___19424","L_00991___13371","L_00819___53022	L_00820___53024"
"ssb","","Helix-destabilizing protein","25","25","1","1","2158","","","","L_01795___26657","L_00152___59789","L_00152___67300","L_00151___15658","L_00201___78814","L_00158___74832","L_00662___28284","L_00163","L_01326___33500","L_00180___35336","L_00156___39680","L_00152___43431","L_01071___9772","L_00162___71112","L_00161___63613","L_00161___331","L_00178___47323","L_01286___92898","L_00156___55996","L_00152___4050","L_00158___82679","L_00158___86583","L_00153___19426","L_00992___13373","L_00818___53020"
"group_2022	group_2023","","two-component system response regulator	two-component system response regulator","25	2","25	2","1	1","1	1","2148	2145","221","1","","L_01805___26679","L_00162___59811","L_00162___67322","L_00161___15680","L_00211___78836","L_00168___74854","L_00672___28306","L_00173","L_01316___33478","L_00190___35358	L_00191___35360","L_00166___39702","L_00162___43453","L_01081___9794","L_00172___71134","L_00171___63635","L_00171___353","L_00188___47345	L_00189___47347","L_01296___92920","L_00166___56018","L_00162___4072","L_00168___82701","L_00168___86605","L_00163___19448","L_01002___13395","L_00808___52998"
"group_2028	group_2029","","tRNA (cmo5U34)-methyltransferase	tRNA (cmo5U34)-methyltransferase","25	1","25	1","1	1","1	1","2124	2022","376","1","","L_01821___26714","L_00179___59848","L_00179___67359","L_00179___15719","L_00227___78870","L_00184___74888","L_00689___28342","L_00189","L_01298___33439","L_00211___35402","L_00182___39736","L_00179___43490","L_01098___9831","L_00188___71168","L_00187___63669","L_00187___387","L_00209___47390	L_00208___47388","L_01312___92954","L_00182___56052","L_00178___4107","L_00184___82736","L_00184___86640","L_00179___19483","L_01018___13430","L_00792___52964"
"trpE_2	trpE","","anthranilate synthase component I	anthranilate synthase component I","1	25","1	25","1	1","1	1","2039	2062","336","1","","L_01863___26803","L_00222___59938","L_00223___67451","L_00222___15809","L_00271___78962","L_00225___74974","L_00735___28438","L_00231","L_01257___33353","L_00260___35505","L_00223___39822","L_00221___43579","L_01141___9921","L_00231___71259","L_00230___63760","L_00229___476","L_00264___47504","L_01354___93042","L_00226___56144","L_00221___4197","L_00227___82827","L_00228___86733","L_00222___19574","L_01059___13516","L_00737___52850	L_00736___52848"
"group_2038","","hypothetical protein","25","25","1","1","2060","","","","L_01865___26807","L_00224___59942","L_00225___67455","L_00224___15813","L_00273___78966","L_00227___74978","L_00737___28442","L_00233","L_01255___33349","L_00262___35509","L_00225___39826","L_00223___43583","L_01143___9925","L_00233___71263","L_00232___63764","L_00231___480","L_00266___47508","L_01356___93046","L_00228___56148","L_00223___4201","L_00229___82831","L_00230___86737","L_00224___19578","L_01061___13520","L_00734___52844"
"group_2039	group_2040","","AAA family ATPase	AAA family ATPase","1	25","1	25","1	1","1	1","2041	2058","420","1","","L_01867___26811","L_00226___59946","L_00227___67459","L_00226___15817","L_00275___78970","L_00229___74982","L_00739___28446","L_00235","L_01253___33345","L_00264___35513","L_00227___39830","L_00225___43587","L_01145___9929","L_00235___71267","L_00234___63768","L_00233___484","L_00268___47512","L_01358___93050","L_00230___56152","L_00225___4205","L_00231___82835","L_00232___86741","L_00226___19582","L_01063___13524","L_00732___52840	L_00731___52838"
"rplL	group_2042","rplL_2","50S ribosomal protein L7/L12	50S ribosomal protein L7/L12","25	1","25	1","1	1","1	1","2048	2047","212","1","","L_01881___26839","L_00240___59974","L_00241___67487","L_00240___15845","L_00289___78998","L_00243___75010","L_00753___28474","L_00249","L_01239___33317","L_00278___35541	L_00279___35543","L_00241___39858","L_00239___43615","L_01159___9957","L_00249___71295","L_00248___63796","L_00247___512","L_00283___47542","L_01372___93078","L_00244___56180","L_00239___4233","L_00245___82863","L_00246___86769","L_00240___19610","L_01077___13552","L_00716___52808"
"group_2045	group_2046","","Baf family transcriptional activator	Baf family transcriptional activator","25	1","25	1","1	1","1	1","3187	3185","156","4","","L_01892___26862","L_00251___59997","L_00253___67512","L_00251___15868","L_00300___79021","L_00254___75033","L_00765___28499","L_00260","L_01228___33294","L_00292___35570	L_00291___35568","L_00253___39883","L_00250___43638","L_01170___9980","L_00260___71318","L_00259___63819","L_00258___535","L_00296___47569","L_01383___93101","L_00255___56203","L_00250___4256","L_00256___82886","L_00257___86792","L_00251___19633","L_01088___13575","L_00704___52783"
"group_2049","","2OG-Fe(II) oxygenase superfamily protein","25","25","1","1","3214","","","","L_01916___26911","L_00275___60046","L_00277___67561","L_00275___15917","L_00327___79076","L_00279___75084","L_00790___28550","L_00284","L_01204___33245","L_00320___35627","L_00279___39936","L_00275___43689","L_01195___10031","L_00284___71367","L_00283___63868","L_00283___586","L_00321___47620","L_01408___93152","L_00280___56254","L_00275___4307","L_00281___82937","L_00282___86843","L_00275___19682","L_01113___13626","L_00679___52732"
"group_2052","","putative membrane protein","25","25","1","1","1356","","","","L_00551___24083","L_00418___60337","L_00422___67856","L_00416___16204","L_00476___79379","L_00430___75391","L_00187___27312","L_00457","L_01059___32950","L_00485___35962","L_00423___40229","L_00435___44014","L_01338___10321","L_00429___71662","L_00427___64161","L_00427___879","L_00493___47968","L_01559___93459","L_00429___56557","L_00456___4673","L_00432___83243","L_00431___87145","L_00418___19972","L_01260___13924","L_00512___52394"
"group_2055","","SirA-like protein","25","25","1","1","1252","","","","L_00632___24252","L_00507___60522","L_00509___68037","L_00502___16383","L_00559___79552","L_00508___75554","L_01225___29453","L_00537","L_00980___32786","L_00576___36151","L_00501___40392","L_00514___44179","L_01418___10488","L_00506___71823","L_00502___64318","L_00502___1036","L_00583___48155","L_01640___93628","L_00511___56728","L_00537___4842","L_00512___83410","L_00521___87331","L_00497___20137","L_01343___14097","L_00415___52194"
"ppnK_1	ppnK","","putative inorganic polyphosphate/ATP-NAD kinase	putative inorganic polyphosphate/ATP-NAD kinase","2	25","2	25","1	1","1	1","1131	1134","21","11","","L_00712___24416","L_00595___60703","L_00597___68218","L_00591___16566","L_00641___79721","L_00587___75717","L_00012___26952","L_00613","L_00898___32618","L_00683___36369	L_00684___36371","L_00589___40572","L_00592___44339","L_01507___10670","L_00585___71986","L_00580___64479","L_00581___1199","L_00671___48335","L_01719___93790","L_00593___56896","L_00617___5006","L_00592___83576","L_00603___87501","L_00573___20295","L_01437___14289	L_01438___14291","L_00311___51981"
"group_2059","","putative RNA methyltransferase","25","25","1","1","159","","","","L_00758___24512","L_00641___60799","L_00643___68314","L_00637___16662","L_00686___79815","L_00632___75811","L_00388___27727","L_00661","L_00850___32518","L_00737___36481","L_00636___40670","L_00636___44431","L_01554___10768","L_00630___72080","L_00626___64575","L_00628___1297","L_00725___48447","L_01765___93886","L_00638___56990","L_00663___5102","L_00639___83674","L_00653___87605","L_00620___20393","L_01487___14393","L_00260___51875"
"group_2112	group_2113","","anthranilate synthase component I	anthranilate synthase component I","25	2","25	2","1	1","1	1","2087	2037","410","1","","L_01844___26765","L_00203___59900","L_00204___67413","L_00203___15771","L_00252___78924","L_00206___74936","L_00714___28396","L_00212","L_01276___33391","L_00239___35463	L_00240___35465","L_00204___39784","L_00202___43541","L_01122___9883","L_00212___71221","L_00211___63722","L_00210___438","L_00242___47460	L_00243___47462","L_01335___93004","L_00207___56106","L_00202___4159","L_00208___82789","L_00209___86695","L_00203___19536","L_01040___13478","L_00760___52896"
