Gene	Non-unique_Gene_name	Annotation	No_isolates	No_sequences	Avg_sequences_per_isolate	Genome_Fragment	Order_within_Fragment	Accessory_Fragment	Accessory_Order_with_Fragment	QC	028_A3	033B	033E-replaced	033_A1	042B	042E	042_A1	054_V2	055_V1	067_A5	115_A2	161_A2	408_A1	442B	442E	442_A3	445_A2	447_A2	447_A3	489_A1	530B	530E	530_A2	552_A1	606_A3	cluster_id
group_2418		hypothetical protein	25	25	1	1	2120				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_480
group_2419		putative membrane protein	25	25	1	1	2118				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_481
group_2420		dienelactone hydrolase	25	25	1	1	2110				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_482
group_2421		putative lipoprotein	25	25	1	1	2098				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_483
group_2422		M24 metallopeptidase family protein	25	25	1	1	2088				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_484
group_2423		ecsC family protein	25	25	1	1	2085				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_485
rpsL		30S ribosomal protein S12	25	25	1	1	2084				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_486
group_2425		aminodeoxychorismate lyase apoprotein	25	25	1	1	2071				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_487
group_2426		aminodeoxychorismate lyase family protein	25	25	1	1	2070				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_488
tmk		thymidylate kinase	25	25	1	1	2069				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_489
group_2428		phosphoribosylaminoimidazole-succinocarboxamide synthase	25	25	1	1	2064				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_490
group_2429		putative membrane protein	25	25	1	1	2061				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_491
group_2430		hypothetical protein	25	25	1	1	2059				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_492
group_2431		XRE family transcriptional regulator	25	25	1	1	2055				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_493
group_2432		hypothetical protein	25	25	1	1	3181				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_494
pyrE		orotate phosphoribosyltransferase	25	25	1	1	3194				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_495
ddlB		D-alanine-D-alanine ligase B DdlB	25	25	1	1	3202				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_496
leuD		3-isopropylmalate dehydratase small subunit	25	25	1	1	451				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_497
folD		bifunctional methylenetetrahydrofolatedehydrogenase/methenyltetrahydrof olate cyclohydrolase	25	25	1	1	429				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_498
group_2450		nucleotidyl transferase	25	25	1	1	274				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_499
group_2464		putative membrane protein	25	25	1	1	3391				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_500
group_2465		GNAT family acetyltransferase	25	25	1	1	1923				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_501
group_2470		polynucleotide adenylyltransferase family protein	25	25	1	1	1345				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_502
group_2484		hypothetical protein	25	25	1	1	749				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_503
group_2485		ExsB family protein	25	25	1	1	694				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_504
group_2486		putative phosphohistidine phosphatase	25	25	1	1	3003				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_505
miaE		tRNA-(ms[2]io[6]A)-hydroxylase	25	25	1	1	3439				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_506
group_2498		putative hydrolase alpha/beta family protein	25	25	1	1	3009				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_507
group_2499		putative membrane protein	25	25	1	1	1433				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_508
murD		UDP-N-acetylmuramoylalanine-D-glutamate ligase MurD	25	25	1	1	1825				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_509
group_2543		carbonic anhydrase	25	25	1	1	264				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_510
hscA_1,hscA,hscA_3		Fe-S protein assembly chaperone HscA,Fe-S protein assembly chaperone HscA,Fe-S protein assembly chaperone HscA	5,25,1	5,25,1	1,1,1	1,1,1	1122,1156,1157	270,270	2,1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_511
group_298,group_299,group_300		Cyclic nucleotide-binding domain protein,putative signal-transduction protein containing cAMP-binding and CBS domains,putative signal-transduction protein containing cAMP-binding and CBS domains	25,21,2	25,21,2	1,1,1	1,1,1	3444,3447,3446	104,104	3,1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_512
group_3110		hypothetical protein	25	25	1	1	2647				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_513
rpmD		50S ribosomal protein L30	25	25	1	1	1797				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_514
group_3112		CRS1 / YhbY domain protein	25	25	1	1	1372				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_515
atpC		ATP synthase F1, epsilon subunit	25	25	1	1	1491				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_516
rplA		50S ribosomal protein L1	25	25	1	1	2050				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_517
rpsF		30S ribosomal protein S6	25	25	1	1	3469				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_518
rplT		50S ribosomal protein L20	25	25	1	1	2207				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_519
group_3117		ferredoxin 1	25	25	1	1	1280				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_520
group_3118		hypothetical protein	25	25	1	1	1827				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_521
group_3119		putative phospholipid binding protein	25	25	1	1	1611				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_522
hisA		phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase	25	25	1	1	1921				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_523
rpmG		50S ribosomal protein L33	25	25	1	1	1185				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_524
rpmH		50S ribosomal protein L34	25	25	1	1	2363				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_525
phnA		alkylphosphonate utilization operon protein PhnA	25	25	1	1	2103				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_526
group_3124		hypothetical protein	25	25	1	1	3384				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_527
rplC		50S ribosomal protein L3	25	25	1	1	1779				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_528
group_3126		putative lipoprotein	25	25	1	1	2117				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_529
ndk		nucleoside diphosphate kinase	25	25	1	1	3012				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_530
ccmD		heme exporter protein CcmD	25	25	1	1	2154				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_531
atpF		ATP synthase F0 subunit B	25	25	1	1	1482				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_532
scpB		condensin subunit ScpB	25	25	1	1	2985				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_533
rpsG		30S ribosomal protein S7	25	25	1	1	2083				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_534
secE		protein translocase subunit SecE	25	25	1	1	2053				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_535
rpsE		30S ribosomal protein S5	25	25	1	1	1796				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_536
rpsQ		30S ribosomal protein S17	25	25	1	1	1788				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_537
rluE		ribosomal large subunit pseudouridine synthase E	25	25	1	1	1901				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_538
greA		transcription elongation factor GreA	25	25	1	1	280				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_539
rplP		50S ribosomal protein L16	25	25	1	1	1786				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_540
fis		putative Fis family transcriptional regulator	25	25	1	1	1143				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_541
rpsK		30S ribosomal protein S11	25	25	1	1	1801				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_542
suhB		inositol-1-monophosphatase	25	25	1	1	2646				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_543
pyrD		dihydroorotate oxidase	25	25	1	1	755				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_544
group_3142		50S ribosomal protein L35	25	25	1	1	2208				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_545
panD		aspartate 1-decarboxylase	25	25	1	1	2974				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_546
pspC		putative stress-responsive transcriptional regulator	25	25	1	1	1724				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_547
acpP		acyl carrier protein	25	25	1	1	1811				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_548
afeA		chelated iron ABC transporter substrate binding protein AfeA	25	25	1	1	2415				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_549
ompR		two-component system response regulator	25	25	1	1	2281				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_550
rplN		50S ribosomal protein L14	25	25	1	1	1789				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_551
rplM		50S ribosomal protein L13	25	25	1	1	947				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_552
group_3150		hypothetical protein	25	25	1	1	58				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_553
group_3151		hypothetical protein	25	25	1	1	2075				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_554
group_3152		integration host factor subunit beta	25	25	1	1	690				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_555
rpmJ		50S ribosomal protein L36	25	25	1	1	1895				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_556
group_3154		hypothetical protein	25	25	1	1	1876				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_557
group_3155		entericidin EcnAB	25	25	1	1	488				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_558
infA		translation initiation factor IF-1	25	25	1	1	3436				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_559
minD		septum site-determining protein MinD	25	25	1	1	1763				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_560
group_3158		LysR family transcriptional regulator	25	25	1	1	464				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_561
group_3159		hypothetical protein	25	25	1	1	2988				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_562
group_3160		BadM/Rrf2 family transcriptional regulator	25	25	1	1	1151				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_563
group_3161		50S ribosomal protein L31	25	25	1	1	2196				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_564
group_3162		putative membrane protein	25	25	1	1	1281				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_565
ccoQ		cbb3-type cytochrome c oxidase subunit CcoQ	25	25	1	1	3522				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_566
rplS		50S ribosomal protein L19	25	25	1	1	1498				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_567
rpmC		50S ribosomal protein L29	25	25	1	1	1787				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_568
group_3166		rhodanese-like protein	25	25	1	1	3457				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_569
group_3167		ribbon-helix-helix, copG family protein	25	25	1	1	492				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_570
rpsI		SSU ribosomal protein S9P	25	25	1	1	948				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_571
group_3169		colicin V production protein	25	25	1	1	757				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_572
ccoS		cbb3-type cytochrome oxidase maturation protein	25	25	1	1	1355				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_573
recR		recombination protein RecR	25	25	1	1	2990				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_574
rpsJ		ribosomal protein S10	25	25	1	1	1778				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_575
ahpC		alkyl hydroperoxide reductase subunit C	25	25	1	1	3205				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_576
atpG		ATP synthase F1 gamma subunit	25	25	1	1	1486				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_577
group_3175		putative Fe(II) trafficking protein	25	25	1	1	2316				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_578
group_3176		hypothetical protein	25	25	1	1	2091				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_579
cysA		sulfate ABC transporter ATP-binding protein CysA	25	25	1	1	482				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_580
aotP		arginine/ornithine transport ATP-binding protein AotP	25	25	1	1	1679				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_581
group_3179		hypothetical protein	25	25	1	1	3498				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_582
group_3180		hypothetical protein	25	25	1	1	390				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_583
dksA		DnaK suppressor protein	25	25	1	1	1472				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_584
infC		translation initiation factor IF-3	25	25	1	1	1924				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_585
rpmF		50S ribosomal protein L32	25	25	1	1	1808				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_586
group_3184		hypothetical protein	25	25	1	1	2448				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_587
prsA		ribose-phosphate pyrophosphokinase	25	25	1	1	2143				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_588
group_3186		cold shock-like protein	25	25	1	1	1819				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_589
rplW		50S ribosomal protein L23	25	25	1	1	1781				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_590
group_3188		hypothetical protein	25	25	1	1	1886				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_591
group_3189		DNA-binding protein HU-beta	25	25	1	1	1148				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_592
group_320,group_319		putative membrane protein,putative membrane protein	15,25	15,25	1,1	1,1	1695,1697	111	3		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_593
group_3190		hypothetical protein	25	25	1	1	1279				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_594
minE		cell division topological specificity factor MinE	25	25	1	1	1760				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_595
dcd		deoxycytidine triphosphate deaminase	25	25	1	1	3443				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_596
qcrA		ubiquinol-cytochrome c reductase iron-sulfur subunit	25	25	1	1	949				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_597
aroF		3-deoxy-7-phosphoheptulonate synthase	25	25	1	1	3348				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_598
group_3195		hypothetical protein	25	25	1	1	2636				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_599
group_3196		50S ribosomal protein L2	25	25	1	1	1782				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_600
tsf		translation elongation factor Ts	25	25	1	1	3193				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_601
accD		acetyl-CoA carboxylase carboxyl transferase AccD	25	25	1	1	2635				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_602
group_3199		marC family integral membrane protein	25	25	1	1	695				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_603
secB		protein translocase chaperone SecB	25	25	1	1	3459				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_604
accA		acetyl-CoA carboxylase carboxyl transferase AccA	25	25	1	1	1743				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_605
fur		ferric uptake regulation protein Fur	25	25	1	1	1422				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_606
group_3203		hypothetical protein	25	25	1	1	3206				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_607
dapB		dihydrodipicolinate reductase	25	25	1	1	2295				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_608
ruvC		crossover junction endodeoxyribonuclease RuvC	25	25	1	1	1820				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_609
group_3206		cyd operon protein YbgT	25	25	1	1	1231				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_610
group_3207		hypothetical protein	25	25	1	1	2156				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_611
group_3208		putative membrane protein	25	25	1	1	3470				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_612
iscA		Fe-S cluster assembly protein IscA	25	25	1	1	1154				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_613
group_3210		30S ribosomal protein S3	25	25	1	1	1785				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_614
rplR		50S ribosomal protein L18	25	25	1	1	1795				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_615
sdhB		succinate dehydrogenase subunit B	25	25	1	1	2272				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_616
rpsO		30S ribosomal protein S15	25	25	1	1	1604				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_617
rpsR		30S ribosomal protein S18	25	25	1	1	3468				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_618
group_3215		hemin uptake hemP family protein	25	25	1	1	3416				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_619
group_3216		hypothetical protein	25	25	1	1	1533				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_620
rbfA		ribosome-binding factor A	25	25	1	1	1601				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_621
atpE		ATP synthase F0 subunit C	25	25	1	1	1481				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_622
ppa		inorganic pyrophosphatase	25	25	1	1	3340				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_623
group_3220		hypothetical protein	25	25	1	1	1539				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_624
frr		ribosome recycling factor	25	25	1	1	1247				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_625
coaD		pantetheine-phosphate adenylyltransferase	25	25	1	1	1655				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_626
group_3223		putative membrane protein	25	25	1	1	389				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_627
bfrB		bacterioferritin B	25	25	1	1	435				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_628
group_3225		FKBP-type peptidyl-prolyl cis-trans isomerase	25	25	1	1	1705				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_629
group_3226		ABC transporter substrate binding protein	25	25	1	1	965				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_630
gshA		glutamate-cysteine ligase	25	25	1	1	2312				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_631
thrC		threonine synthase	25	25	1	1	2377				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_632
fadD_1		Long-chain-fatty-acid--CoA ligase	25	25	1	1	988				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_633
recA		recombination protein RecA	25	25	1	1	3225				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_634
group_3231		hypothetical protein	25	25	1	1	3495				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_635
group_3232		nitrogen regulatory protein P-II	25	25	1	1	1826				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_636
cysD		sulfate adenylate transferase subunit 2	25	25	1	1	2245				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_637
group_3234		2-octaprenyl-6-methoxyphenol hydroxylase	25	25	1	1	3453				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_638
typA		GTP-binding protein TypA	25	25	1	1	1670				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_639
